City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,vila velha,-20.3297,-40.2925,26.97,85,75,4.63,BR,1701827261
66,ketchikan,55.3422,-131.6461,6.26,81,100,3.09,US,1701827219
67,nova sintra,14.8667,-24.7167,21.62,72,100,8.63,CV,1701827815
68,hermanus,-34.4187,19.2345,18.14,74,100,8.89,ZA,1701827815
69,lebu,-37.6167,-73.65,12.44,85,85,4.96,CL,1701827219
70,kerikeri,-35.2268,173.9474,18.13,90,98,0.78,NZ,1701827284
71,vrutok,41.7686,20.8392,5.6,97,100,1.06,MK,1701827816
72,wamba,8.9333,8.6,23.33,23,1,2.17,NG,1701827816
73,ushuaia,-54.8,-68.3,5.81,70,40,19.03,AR,1701827816
74,mugia,43.1041,-9.2179,10.32,76,92,5.05,ES,1701827816
75,live oak,36.9836,-121.9805,17.94,80,90,1.34,US,1701827816
76,arraial do cabo,-22.9661,-42.0278,24.98,88,40,3.09,BR,1701827224
77,isla vista,34.4133,-119.861,21.92,43,0,3.09,US,1701827817
78,chonchi,-42.6128,-73.8092,14.56,89,1,2.07,CL,1701827817
79,vilyuchinsk,52.9306,158.4028,-3.85,73,30,3.56,RU,1701827817
80,kapuskasing,49.4169,-82.4331,-6.95,86,100,1.54,CA,1701827041
81,colonia,50.9333,6.95,4.3,90,100,4.63,DE,1701827105
82,khuzdar,27.7384,66.6434,9.6,29,29,0.8,PK,1701827814
83,villa gesell,-37.2639,-56.973,17.25,89,100,8.42,AR,1701827817
84,georgetown,5.4112,100.3354,27.96,94,20,3.6,MY,1701827602
85,constantia,44.1833,28.65,4.38,86,100,5.43,RO,1701827818
86,longyearbyen,78.2186,15.6401,-4.09,68,20,10.29,SJ,1701827818
87,ayorou,14.7308,0.9174,23.62,18,0,2.79,NE,1701827818
88,poronaysk,49.2167,143.1167,0.92,84,97,4.02,RU,1701827818
89,ribeira grande,38.5167,-28.7,19.32,94,100,11.18,PT,1701827818
90,slobozia,46.7281,29.7078,3.93,78,100,5.57,MD,1701827818
91,iskushuban,10.2837,50.23,19.76,67,11,2.42,SO,1701827819
92,yeppoon,-23.1333,150.7333,30.88,61,18,6.72,AU,1701827293
93,valparaiso,-33.0393,-71.6273,13.8,71,0,1.54,CL,1701827593
94,ola,59.5833,151.2833,-20.4,72,97,4.62,RU,1701827819
95,margaret river,-33.95,115.0667,21.58,49,3,3.96,AU,1701827819
96,porto novo,6.4965,2.6036,26.22,82,13,2.25,BJ,1701827254
97,bilibino,68.0546,166.4372,-30.31,99,100,1.84,RU,1701827820
98,alice springs,-23.7,133.8833,38.75,10,0,5.66,AU,1701827523
99,lethbridge,49.7,-112.8186,13.27,54,75,10.29,CA,1701827102
100,anadyr,64.75,177.4833,-18.72,84,100,7.0,RU,1701827820
101,henderson,36.0397,-114.9819,19.69,30,0,2.06,US,1701827701
102,wailua homesteads,22.0669,-159.378,27.24,88,75,8.75,US,1701827263
103,invercargill,-46.4,168.35,18.76,46,76,0.68,NZ,1701827821
104,fort mcmurray,56.7268,-111.381,5.73,65,0,5.66,CA,1701827228
105,badger,64.8,-147.5333,-18.07,82,100,0.0,US,1701827254
106,colac,-38.3333,143.5833,20.65,31,17,2.6,AU,1701827821
107,luocheng,29.3848,104.0286,13.87,74,99,0.98,CN,1701827822
108,pathein,16.7833,94.7333,26.1,70,96,4.51,MM,1701827822
109,menongue,-14.6585,17.691,16.35,95,29,1.68,AO,1701827264
110,papatowai,-46.5619,169.4708,18.61,53,99,2.21,NZ,1701827823
